ID,SENIN18,ABORTION18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRAUNLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,DONNELLYLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBRAUN,FAVDEM2,FAVDONNELLY,FAVMCONL,FAVPARTY,FAVPELOSI,FAVPENCE,FAVREP2,FAVSENIN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVIN18,KAVIN18A,KAVIN18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN_1,TIME18SENMONTH_1,TIME18SENWEEK_1,TIME18SEN_2,TRADE18,TRADEBRAUN,TRADEDONNELLY,TRADEIN18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2
54990,Joe Donnelly, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 3,5, ,The Democratic Party, ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,Donald Trump was not a factor,No,4, , , ,Yes, , , , , , , , , , ,No, , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,24,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Cares about people like me,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Somewhat serious,Serious, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.634852707386017, , ,Very important,Important
54998,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 3,5, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Gun policy, , , ,No,No,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,29,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Non married men,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,1.40686988830566,Yes,All others, , 
54999,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 3,5, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,Yes,Excellent,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,31,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,Helped,Election day exit poll,In the last month,In the last month,Before that, , ,Omit,Omit,Omit,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.695038735866547,No,All others, , 
55003,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,Call 3,2, ,The Democratic Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,Yes,2, , , ,No, , , , , , , , , , ,No, , , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,41,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Cares about people like me,White,White,White,Midwest, ,The Democratic candidate,Male,White men,Somewhat serious,Serious, ,Rural,Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,1.36214673519135, , ,Very important,Important
55017,Mike Braun, ,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete, ,Yes,Call 3,2, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites, , , , , , , , , , , , ,1, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care, , , ,Yes,Yes,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Liberal,93,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire, ,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest,Politically motivated,The Republican candidate,Male,Latino men, , ,Married men,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Hurt,Election day exit poll,Before that,Before that,Before that, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat disapprove,Strongly disapprove,About right,Version 1, ,Hillary Clinton,.965771377086639,No,All others, , 
55019,Mike Braun, ,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete, , ,Call 3,6, ,The Republican Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,About the same,Omit,No,2, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,14,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Female,White women,Somewhat serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Somewhat disapprove, ,Version 2, , ,.530141234397888, , ,Somewhat important,Important
55028,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,No,Call 3,5, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,4, ,Minor changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Health care, , , ,No,Yes,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,24,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Hurt,Election day exit poll,Before that,Before that,Before that, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.634852707386017,No,All others, , 
55031,Joe Donnelly, ,18-29,18-29,18-24,18-44,18-49,18-29,18-24, , , ,Complete, , ,Call 3,7, , , ,Never attended college,No college degree,High school graduate or less, , , , , , , ,Unfavorable, , , , , , ,3, ,Minor changes, ,Yes, , , , , , ,Health care, , , ,No, , , ,18-44,18-64,Democrat, , ,Democratic men,Democrat,Democratic Men, ,Liberal,63,Liberal Democrats,Liberal Democrats, , ,National questionnaire, , , , ,Midwest,Justified,The Democratic candidate,Male, , , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , , , ,Too tough,Version 2, , ,.348384022712708, , , , 
55032,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 3,9, ,The Republican Party, ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Unfavorable,Omit, ,Only Republican Party, , ,Favorable,Omit,Better,To express support for Donald Trump,No,4, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,38,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Female,White women,Somewhat serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Strongly approve, ,Version 2, , ,.836218476295471, , ,Somewhat important,Important
55047,Mike Braun, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 3,6, ,The Republican Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,Better,Donald Trump was not a factor,No,5, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,6,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Male,White men,Somewhat serious,Serious, ,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Somewhat approve, ,Version 2, , ,.923026025295258, , ,Somewhat important,Important
55048,Mike Braun, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,Yes,Call 3,5, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,2, ,Minor changes, , ,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Omit, , , ,No,No,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,102,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women, , ,Non married women,Rural,Small Cities/Rural,Indiana,Other,No impact,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,2.17850613594055,Yes,White Born-again/Evangelical Christians, , 
55049,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,3, , , ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration, , , ,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,115,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,.726588904857636,No,White Born-again/Evangelical Christians, , 
55057,Mike Braun, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,5, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,4, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",The economy, , , ,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,29,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Other,1.0085836648941,No,White Born-again/Evangelical Christians, , 
55058,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 3,5, ,The Democratic Party, ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Favorable,Favorable, ,Both parties, , ,Favorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,Yes,4, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,31,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,Cares about people like me,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Very serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.56064909696579, , ,Somewhat important,Important
55061,Joe Donnelly, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , ,Call 3,2, ,The Democratic Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,About the same,To express opposition to Donald Trump,No,1, , , ,Yes, , , , , , , , , , ,No, , , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,93,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,Is my party's candidate,White,White,White,Midwest, ,The Democratic candidate,Male,White men,Somewhat serious,Serious, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,1.8384428024292, , ,Somewhat important,Important
55062,Joe Donnelly, ,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete, , ,Call 3,5, ,The Democratic Party, ,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Only Joe Donnelly,Worse,To express opposition to Donald Trump,No,2, , , ,Yes, , , , , , , , , , ,No, , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,20,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Cares about people like me,Black,Non-white,Black,Midwest, ,The Democratic candidate,Female,Black women,Very serious,Serious, ,Rural,Small Cities/Rural,Indiana,Other, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,1.20641887187958, , ,Very important,Important
55067,Joe Donnelly, ,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete, , ,Call 3,7, , , ,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites, ,Favorable, , ,Only Democratic Party, , ,Unfavorable, ,Worse, , ,3, , , , ,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white", , , , ,No, ,Not so good,Not so good or poor,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,63,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire, ,Black,Non-white,Black,Midwest, ,The Democratic candidate,Female,Black women, , , ,"Cities over 500,000","Cities over 50,000",Indiana,Other,Hurt,Election day exit poll, , , , ,Hurt, , , , , , ,Version 4, , ,.646149098873138,No, , , 
55077,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 3,9, ,The Republican Party, ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Unfavorable,Unfavorable, ,Only Republican Party, , ,Favorable,Only Mike Braun,About the same,Donald Trump was not a factor, ,4, , , ,No, , , , , , , , , , ,No, , , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,38,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,Midwest, ,The Republican candidate,Male,White men,Not too serious,Not serious, ,Suburbs,Suburbs,Indiana,White suburban men, ,Election day exit poll, , , , ,Helped, , , ,Strongly or somewhat approve,Strongly approve, ,Version 2, , ,.929788112640381, , ,Not at all important,Not important
55080,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Yes,Call 3,6, , , ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , , , , , , , , , , ,5, ,Minor changes, , , , , , , , ,Immigration, , , ,No,Yes,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,19,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Married men,Rural,Small Cities/Rural,Indiana,Other,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,1.10763120651245, ,White Born-again/Evangelical Christians, , 
55081,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,Call 3,5, ,The Republican Party, ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Favorable,Favorable, ,Only Democratic Party, , ,Unfavorable,Both,Better,To express opposition to Donald Trump,No,4, , , ,No, , , , , , , , , , ,No, , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,24,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest, ,The Democratic candidate,Male,White men,Very serious,Serious, ,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , ,No impact, , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 2, , ,.705890238285065, , ,Very important,Important
55085,Mike Braun, ,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, ,Yes,Call 3,6, , , ,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Immigration, , , ,No,No,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,14,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Non married men,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1, ,Donald Trump,.931643307209015,No,White Born-again/Evangelical Christians, , 
55089,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,No,Call 1,6, , , ,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care, , , ,No,Yes,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,12,Liberal Democrats,Liberal Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Married women,Suburbs,Suburbs,Indiana,White suburban women,No impact,Election day exit poll,Before that,Before that,Before that, , ,Do not trust Mike Braun,Trust Joe Donnelly,Only Joe Donnelly,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,2.28435373306274,No,All others, , 
55092,Joe Donnelly, ,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 3,6, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates, , , , , , , , , , , , ,2, ,Major changes, , ,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care, , , ,No,No,Good,Excellent or good,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,15,Independent/Something else,Conservative Republicans,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Non married women,"Cities 50,000-500,000","Cities over 50,000",Indiana,Other,Hurt,Election day exit poll,In the last few days,In the last month,In the last week, , ,Do not trust Mike Braun,Do not trust Joe Donnelly,Neither of them,Strongly or somewhat approve,Somewhat approve,About right,Version 1, ,Donald Trump,.730944335460663,No,White Born-again/Evangelical Christians, , 
55094,Mike Braun, ,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,Yes,Call 3,6, , , ,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates, , , , , , , , , , , , ,5, ,Major changes, , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Immigration, , , ,No,No,Excellent,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,6,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire, ,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men, , ,Non married men,"Cities 10,000-50,000",Small Cities/Rural,Indiana,Other,Helped,Election day exit poll,Before that,Before that,Before that, , ,Trust Mike Braun,Do not trust Joe Donnelly,Only Mike Braun,Strongly or somewhat approve,Strongly approve,About right,Version 1, ,Donald Trump,.661716520786285,No,White Born-again/Evangelical Christians, , 
55099,Mike Braun, ,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Call 3,4, , , ,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates, ,Unfavorable, , ,Only Republican Party, , ,Favorable, ,Better, , ,4, , , , ,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white", , , , ,No, ,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,85,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire, ,White,White,White,Midwest, ,The Republican candidate,Male,White men, , , ,Suburbs,Suburbs,Indiana,White suburban men,Helped,Election day exit poll, , , , ,Helped, , , , , , ,Version 4, , ,2.24338722229004,No, , , 
55102,Joe Donnelly, ,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,Call 3,4, ,The Republican Party, ,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Favorable,Favorable, ,Both parties, , ,Favorable,Both,About the same,Donald Trump was not a factor,No,2, , , ,Omit, , , , , , , , , , ,No, , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,7,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Is willing to compromise,White,White,White,Midwest, ,The Democratic candidate,Female,White women,Very serious,Serious, ,Suburbs,Suburbs,Indiana,White suburban women, ,Election day exit poll, , , , ,Hurt, , , ,Strongly or somewhat disapprove,Somewhat disapprove, ,Version 2, , ,1.32077479362488, , ,Very important,Important
55111,Joe Donnelly, ,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete, ,Yes,Call 3,7, , , ,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites, , , , , , , , , , , , ,3,No, ,The Democratic Party, , , , , , , ,Health care, , , ,No,No, , ,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats, ,63, , ,Black,Black,National questionnaire, ,Black,Non-white,Black,Midwest, ,The Democratic candidate,Female,Black women,Very serious,Serious,Non married women,"Cities over 500,000","Cities over 50,000",Indiana,Other, ,Election day exit poll, , , , , , , , ,Strongly or somewhat disapprove,Strongly disapprove, ,Version 3, , ,.537998199462891, ,All others,Very important,Important
55116,Joe Donnelly, ,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete, ,No,Call 3,7, , , ,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates, , , , , , , , , , , , ,3, ,Minor changes, , ,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",The economy, , , ,No,No,Good,Excellent or good,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,71,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire, ,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women, , ,Non married women,"Cities over 500,000","Cities over 50,000",Indiana,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week, , ,Trust Mike Braun,Trust Joe Donnelly,Both of them,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1, ,Hillary Clinton,.685412466526031,Yes,All others, , 
