,ID,HOU,GOV,SEX,SEN,AGE8,AGEBYRACE,CDNUM,EDUC18,LATINO,PARTYBYRACE,PARTYID,PARTYSEX,PHIL3,PTYIDEO7,QRACEAI,REGION,SIZEPLAC,SUBURBWHITE,VERSION,WEIGHT,SEXBYRACE,RACE2B,STANUM,TRACK,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPH,INCOME18GEN,INCWHITE,LGBT,NEC,TAXCUTS18,TRADE18,UNITED18
11144,49370,The Republican candidate,The Republican candidate,Male,,45-49,White 45-59,4,Never attended college,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,South,Rural,Other,Version 4,0.209335371851921,White men,White,Arkansas,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
11146,49374,The Republican candidate,The Republican candidate,Female,,50-59,White 45-59,6,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,South,Suburbs,White suburban women,Version 4,0.485361784696579,White women,White,Alabama,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Helped,Becoming more divided
11152,49395,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Black 18-29,15,Attended college but received no degree,No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,East,"Cities over 500,000",Other,Version 4,0.287386447191238,Black women,Non-white, New York,Seriously off on the wrong track,Unfavorable,Omit,Omit,Better,Donald Trump was not a factor,"Under $30,000","Under $50,000 and non white",No,Not so good,Helped,Hurt,Becoming more divided
11161,49433,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,60-64,White 60+,5,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,East,Suburbs,White suburban women,Version 4,1.11672341823578,White women,White,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
11173,49461,The Republican candidate,The Republican candidate,Female,The Republican candidate,50-59,White 45-59,9,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Rural,Other,Version 4,0.847508549690247,White women,White,Pennsylvania,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Good,Hurt,Helped,Becoming more divided
11178,49473,The Republican candidate,The Republican candidate,Female,The Republican candidate,50-59,White 45-59,5,Never attended college,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban women,Version 4,1.00641644001007,White women,White,Pennsylvania,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11179,49474,The Democratic candidate,The Democratic candidate,Female,Other,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Rural,Other,Version 4,0.267710953950882,White women,White,Maine,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
11183,49503,The Republican candidate,,Male,The Republican candidate,40-44,White 30-44,1,Associate's degree (AA or AS),No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban men,Version 4,0.241788148880005,White men,White,Delaware,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11190,49527,The Democratic candidate,The Republican candidate,Female,,60-64,White 60+,4,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,South,Rural,Other,Version 4,0.240652620792389,White women,White,Arkansas,Seriously off on the wrong track,Favorable,Both parties,Favorable,Worse,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
11192,49532,The Republican candidate,,Male,The Republican candidate,25-29,White 18-29,3,Attended college but received no degree,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 4,0.494396239519119,White men,White,Missouri,Generally going in the right direction,Favorable,Only Democratic Party,Unfavorable,Better,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Helped,Helped,Becoming more united
11196,49538,The Democratic candidate,Other,Female,Other,25-29,White 18-29,2,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,Suburbs,White suburban women,Version 4,0.40675890445709206,White women,White,Wisconsin,Generally going in the right direction,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,Helped,Becoming more divided
11208,49564,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,2,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.34611940383911105,White men,White, Nebraska,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11209,49571,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,8,Never attended college,No,White Democrat,Democrat,Democratic Men,Moderate,Mod/Conserv. Democrats,White,Midwest,Suburbs,White suburban men,Version 4,1.06967163085938,White men,White, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Hurt,Hurt,Becoming more divided
11212,49580,The Republican candidate,The Republican candidate,Female,,50-59,White 45-59,4,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,South,Rural,Other,Version 4,0.178051218390465,White women,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
11213,49587,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,6,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.1327438354492199,White men,White,Wisconsin,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Excellent,Helped,No impact,Becoming more divided
11217,49596,The Democratic candidate,,Female,The Democratic candidate,30-39,White 30-44,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,East,Suburbs,White suburban women,Version 4,0.15343680977821397,White women,White,Delaware,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
11221,49614,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,Black 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,Black,East,"Cities over 500,000",Other,Version 4,0.52898645401001,Black men,Non-white,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and non white",No,Good,Helped,No impact,Becoming more divided
11223,49621,The Republican candidate,The Republican candidate,Male,The Republican candidate,30-39,Latino 30-44,6,Never attended college,Yes,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,Other,Version 4,0.6372199058532709,Latino men,Non-white,Wisconsin,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and non white",No,Good,No impact,No impact,Staying about the same
11227,49633,The Republican candidate,The Republican candidate,Female,The Republican candidate,50-59,White 45-59,9,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Moderate,Mod./Liberal Republicans,White,Midwest,Suburbs,White suburban women,Version 4,1.1680029630661,White women,White, Michigan,Generally going in the right direction,Favorable,Both parties,Favorable,Better,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
11238,49665,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,Black 18-29,7,Bachelor's degree (BA or BS),No,Black Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Black,East,"Cities 10,000-50,000",Other,Version 4,0.770727634429932,Black women,Non-white, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and non white",Yes,Good,No impact,No impact,Becoming more divided
11242,49681,Other,,Female,,45-49,Black 45-59,4,Bachelor's degree (BA or BS),No,Black Independent,Something else,Independent Women,Liberal,Liberal Independents,Black,East,Suburbs,Other,Version 4,0.563606321811676,Black women,Non-white, Maryland,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Poor,Hurt,Hurt,Staying about the same
11249,49695,The Democratic candidate,,Male,The Democratic candidate,65 or over,White 60+,1,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,Suburbs,White suburban men,Version 4,0.29014918208122303,White men,White,Delaware,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
11251,49703,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,White 30-44,5,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,East,Suburbs,White suburban men,Version 4,0.545554280281067,White men,White,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
11252,49706,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.34611940383911105,White men,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11253,49707,The Republican candidate,,Female,The Republican candidate,40-44,White 30-44,3,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,0.504417538642883,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
11258,49723,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,1,Attended college but received no degree,No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 4,1.03058338165283,White men,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11261,49736,The Republican candidate,The Republican candidate,Female,,65 or over,White 60+,2,Attended college but received no degree,No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,South,"Cities 50,000-500,000",Other,Version 4,0.228109523653984,White women,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Helped,Becoming more united
11262,49738,The Republican candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,4,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban men,Version 4,0.9591107368469242,White men,White, Maryland,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,$200.000 or more,"Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11263,49740,The Democratic candidate,The Republican candidate,Male,The Republican candidate,50-59,White 45-59,16,Never attended college,No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban men,Version 4,1.26761138439178,White men,White,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Hurt,Hurt,Becoming more divided
11266,49753,The Republican candidate,The Republican candidate,Male,The Republican candidate,65 or over,White 60+,2,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.5522785186767598,White men,White,Wisconsin,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11272,49767,The Republican candidate,,Female,The Republican candidate,65 or over,White 60+,3,Attended college but received no degree,No,White Independent,Something else,Independent Women,Conservative,Conservative Independents,White,Midwest,Suburbs,White suburban women,Version 4,0.8966698050498959,White women,White,Missouri,Generally going in the right direction,Favorable,Both parties,Favorable,About the same,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,Helped,Becoming more united
11284,49800,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,3,Never attended college,No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,Midwest,Rural,Other,Version 4,0.5806103348731989,White men,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more united
11287,49805,The Democratic candidate,,Female,The Democratic candidate,65 or over,White 60+,1,Never attended college,No,White Democrat,Democrat,Democratic Women,Conservative,Mod/Conserv. Democrats,White,East,Suburbs,White suburban women,Version 4,0.23530779778957397,White women,White,Delaware,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
11288,49816,The Republican candidate,,Male,The Republican candidate,65 or over,White 60+,1,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,East,Suburbs,White suburban men,Version 4,0.383811891078949,White men,White,Delaware,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Staying about the same
11298,49847,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,30-39,Latino 30-44,13,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,Hispanic/Latino,East,"Cities over 500,000",Other,Version 4,0.324213176965714,Latino women,Non-white, New York,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and non white",No,Good,Helped,No impact,Becoming more divided
11300,49855,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,2,Never attended college,No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,South,Suburbs,White suburban men,Version 4,0.267484068870544,White men,White,Arkansas,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11301,49858,The Republican candidate,The Republican candidate,Female,The Republican candidate,45-49,White 45-59,4,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,East,Suburbs,White suburban women,Version 4,0.777828395366669,White women,White, Maryland,Generally going in the right direction,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,No impact,Becoming more divided
11303,49861,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,40-44,Latino 30-44,9,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",Yes,Latino Democrat,Democrat,Democratic Men,Conservative,Mod/Conserv. Democrats,Hispanic/Latino,East,"Cities 10,000-50,000",Other,Version 4,0.957750916481018,Latino men,Non-white,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,Omit,"Under $30,000","Under $50,000 and non white",No,Poor,No impact,No impact,Becoming more divided
11309,49875,The Democratic candidate,The Democratic candidate,Female,,50-59,White 45-59,2,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,White,South,"Cities 50,000-500,000",Other,Version 4,0.0970393493771553,White women,White,Arkansas,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,Helped,Hurt,Becoming more divided
11313,49887,The Republican candidate,The Republican candidate,Male,The Republican candidate,60-64,White 60+,2,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.615273654460907,White men,White, Nebraska,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,Helped,Helped,Becoming more divided
11319,49910,The Republican candidate,The Republican candidate,Male,The Democratic candidate,60-64,White 60+,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Liberal,Liberal Independents,White,East,"Cities 10,000-50,000",Other,Version 4,1.96054017543793,White men,White, Maryland,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,$200.000 or more,"Over $50,000 and white",No,Excellent,Helped,No impact,Staying about the same
11321,49921,The Democratic candidate,,Female,The Democratic candidate,30-39,White 30-44,1,Associate's degree (AA or AS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,East,Suburbs,White suburban women,Version 4,0.15343680977821397,White women,White,Delaware,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,Omit,"$30,000-$49,999","Under $50,000 and white",No,Poor,No impact,Hurt,Becoming more divided
11324,49928,The Democratic candidate,The Democratic candidate,Female,,25-29,White 18-29,2,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,South,"Cities 50,000-500,000",Other,Version 4,0.0758847668766975,White women,White,Arkansas,Seriously off on the wrong track,Favorable,Omit,Omit,About the same,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
11325,49930,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,65 or over,White 60+,9,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,"Cities 10,000-50,000",Other,Version 4,1.46878862380981,White men,White,Pennsylvania,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,Helped,Hurt,Becoming more divided
11329,49935,The Republican candidate,,Female,The Republican candidate,50-59,White 45-59,4,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Women,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban women,Version 4,0.5399399399757391,White women,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,Helped,Staying about the same
11333,49944,Other,Other,Male,,65 or over,White 60+,4,Attended college but received no degree,No,White Independent,Something else,Independent Men,Conservative,Conservative Independents,White,South,Rural,Other,Version 4,0.327308028936386,White men,White,Arkansas,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,Worse,Donald Trump was not a factor,"$30,000-$49,999","Under $50,000 and white",No,Poor,No impact,Hurt,Becoming more divided
11334,49955,The Republican candidate,,Male,The Republican candidate,45-49,White 45-59,1,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Men,Moderate,Moderate Independents,White,East,Suburbs,White suburban men,Version 4,0.268233716487885,White men,White,Delaware,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Good,No impact,Helped,Becoming more divided
11344,49982,The Republican candidate,,Male,The Republican candidate,65 or over,White 60+,3,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,Midwest,Suburbs,White suburban men,Version 4,1.02624452114105,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,Donald Trump was not a factor,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Helped,Becoming more divided
11346,49987,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,White 30-44,1,Attended college but received no degree,No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.31163641810417203,White women,White, Nebraska,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Not so good,No impact,Hurt,Becoming more divided
11347,49989,The Democratic candidate,The Democratic candidate,Male,,65 or over,White 60+,4,Never attended college,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,South,Rural,Other,Version 4,0.317440420389175,White men,White,Arkansas,Generally going in the right direction,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$30,000-$49,999","Under $50,000 and white",No,Good,No impact,No impact,Staying about the same
11360,50030,The Republican candidate,,Male,The Republican candidate,18-24,White 18-29,1,Bachelor's degree (BA or BS),No,All Republicans,Republican,Republican Men,Conservative,Conservative Republicans,White,East,Suburbs,White suburban men,Version 4,0.18958403170108803,White men,White,Delaware,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,Helped,No impact,Becoming more divided
11376,50075,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,18-24,White 18-29,1,Never attended college,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.305445104837418,White men,White, Nebraska,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
11377,50076,The Democratic candidate,The Democratic candidate,Male,The Democratic candidate,18-24,White 18-29,1,Never attended college,No,White Democrat,Democrat,Democratic Men,Liberal,Liberal Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.305445104837418,White men,White, Nebraska,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
11379,50078,The Republican candidate,,Male,The Republican candidate,25-29,White 18-29,8,Attended college but received no degree,No,All Republicans,Republican,Republican Men,Moderate,Mod./Liberal Republicans,White,Midwest,Rural,Other,Version 4,0.816828548908234,White men,White,Missouri,Generally going in the right direction,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$100,000-$199,999","Over $50,000 and white",No,Excellent,Helped,Helped,Becoming more divided
11380,50079,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,45-49,Black 45-59,9,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,Midwest,Suburbs,Other,Version 4,0.622690200805664,Black women,Non-white, Michigan,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,$200.000 or more,"Over $50,000 and non white",No,Good,No impact,Hurt,Becoming more divided
11390,50118,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,18-24,White 18-29,2,Attended college but received no degree,No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.15933093428611803,White women,White, Nebraska,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,Hurt,No impact,Becoming more divided
11393,50126,The Democratic candidate,,Female,The Democratic candidate,25-29,White 18-29,1,Bachelor's degree (BA or BS),No,White Democrat,Democrat,Democratic Women,Liberal,Liberal Democrats,White,Midwest,"Cities 50,000-500,000",Other,Version 4,0.280519932508469,White women,White,Missouri,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",Yes,Not so good,Hurt,Hurt,Becoming more divided
11394,50131,The Democratic candidate,The Democratic candidate,Female,The Democratic candidate,40-44,Black 30-44,7,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",No,Black Democrat,Democrat,Democratic Women,Moderate,Mod/Conserv. Democrats,Black,East,"Cities 10,000-50,000",Other,Version 4,0.9829562306404109,Black women,Non-white, Maryland,Seriously off on the wrong track,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,"$100,000-$199,999","Over $50,000 and non white",No,Not so good,No impact,Hurt,Becoming more divided
11395,50132,The Republican candidate,The Republican candidate,Male,,50-59,White 45-59,4,Associate's degree (AA or AS),No,White Independent,Independent,Independent Men,Conservative,Conservative Independents,White,South,Rural,Other,Version 4,0.234864085912704,White men,White,Arkansas,Seriously off on the wrong track,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,"$50,000-$99,999","Over $50,000 and white",No,Good,No impact,Helped,Becoming more divided
11396,50134,The Republican candidate,The Republican candidate,Female,The Republican candidate,25-29,White 18-29,4,Associate's degree (AA or AS),No,White Independent,Independent,Independent Women,Conservative,Conservative Independents,White,East,Suburbs,White suburban women,Version 4,0.609888553619385,White women,White, Maryland,Generally going in the right direction,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,"Under $30,000","Under $50,000 and white",No,Good,No impact,No impact,Becoming more divided
11399,50143,The Democratic candidate,,Female,The Democratic candidate,65 or over,White 60+,8,Bachelor's degree (BA or BS),No,White Independent,Independent,Independent Women,Moderate,Moderate Independents,White,Midwest,Rural,Other,Version 4,0.911410570144653,White women,White,Missouri,Seriously off on the wrong track,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,"Under $30,000","Under $50,000 and white",No,Good,No impact,Hurt,Becoming more divided
